timestamp,player,score
2025-09-18T12:40:03.348983700,Герой,35
2025-09-18T12:45:36.626266600,Герой,54
2025-09-18T12:49:20.963805100,Герой,5
2025-09-18T12:54:50.631103800,Герой,24
2025-09-18T13:05:58.195031100,Герой,26
2025-09-18T13:06:26.750816,Герой,56
2025-09-18T16:35:05.891767800,Герой,74
2025-09-18T16:58:26.855258600,Герой,2
2025-09-18T17:31:41.854368900,Герой,5
2025-09-19T16:58:14.215823,Герой,16
2025-09-19T17:08:51.868651600,Герой,19
2025-09-19T17:09:47.398528200,Герой,21
2025-09-20T23:50:11.950990800,Герой,16
